"","caseid","Leg_01","Leg_SameRights","Leg_DiscussProposals","Leg_AcceptDecisions","treat_ideol","treat_mod","treat_demo","PercDemnorm","threat","PercIdeol"
"1",1303814377,NA,NA,NA,NA,"left-wing","left/right wing","anti-democratic",NA,NA,NA
"2",1303790607,0.444444444444444,0.333333333333333,0.5,0.5,"centre-right","moderate left/right","pro-democratic",3,6,5
"3",1305846943,1,1,1,1,"right-wing","left/right wing","anti-democratic",1,7,5
"4",1305857241,1,1,1,1,"centre-left","moderate left/right","anti-democratic",NA,3,2
"5",1305745797,1,1,1,1,"centre","centre","anti-democratic",2,5,4
"6",1303632505,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","anti-democratic",3,5,5
"7",1303814259,0,0,0,0,"centre","centre","pro-democratic",6,NA,NA
"8",1305834483,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"control","control","control",4,4,3
"9",1305854579,0.777777777777778,1,0.833333333333333,0.5,"centre-right","moderate left/right","anti-democratic",4,3,4
"10",1305875207,NA,NA,NA,NA,"centre","centre","pro-democratic",NA,NA,NA
"11",1293813727,0.388888888888889,0.333333333333333,0.5,0.333333333333333,"centre-right","moderate left/right","pro-democratic",4,4,NA
"12",1305611617,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"control","control","control",5,3,NA
"13",1304038137,1,1,1,1,"centre","centre","anti-democratic",NA,NA,4
"14",1305834411,0.555555555555556,0.333333333333333,0.833333333333333,0.5,"right-wing","left/right wing","anti-democratic",4,7,5
"15",1305640775,1,1,1,1,"left-wing","left/right wing","anti-democratic",6,1,1
"16",1305689837,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-left","moderate left/right","pro-democratic",7,1,2
"17",1305834607,0.722222222222222,0.666666666666667,0.666666666666667,0.833333333333333,"centre-left","moderate left/right","anti-democratic",4,4,1
"18",1305846241,0.611111111111111,0.666666666666667,0.5,0.666666666666667,"centre","centre","anti-democratic",5,4,3
"19",1305884705,0.5,0.333333333333333,0.833333333333333,0.333333333333333,"control","control","control",5,5,2
"20",1289759879,NA,NA,NA,NA,"centre-left","moderate left/right","pro-democratic",NA,NA,NA
"21",1305888807,0.5,0.5,0.666666666666667,0.333333333333333,"centre-left","moderate left/right","anti-democratic",4,5,3
"22",1305854433,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"left-wing","left/right wing","pro-democratic",3,4,1
"23",1305564829,0.944444444444444,1,1,0.833333333333333,"centre-right","moderate left/right","anti-democratic",3,5,5
"24",1305865479,0.555555555555556,0.666666666666667,0.5,0.5,"left-wing","left/right wing","anti-democratic",4,4,2
"25",1303766099,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","pro-democratic",5,3,NA
"26",1305834453,0.888888888888889,1,0.833333333333333,0.833333333333333,"centre-left","moderate left/right","anti-democratic",7,1,3
"27",1304179649,NA,1,1,NA,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"28",1305780219,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre","centre","anti-democratic",6,1,3
"29",1304485543,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre","centre","pro-democratic",4,2,4
"30",1304558947,1,1,1,1,"right-wing","left/right wing","pro-democratic",7,NA,4
"31",1305854419,0.888888888888889,0.833333333333333,1,0.833333333333333,"centre-right","moderate left/right","pro-democratic",7,1,4
"32",1305854427,1,1,1,1,"centre-right","moderate left/right","pro-democratic",5,3,4
"33",1305564769,1,1,1,1,"left-wing","left/right wing","pro-democratic",7,1,2
"34",1304583321,1,1,1,1,"right-wing","left/right wing","anti-democratic",NA,2,5
"35",1305779967,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre","centre","pro-democratic",4,4,4
"36",1305898451,0.888888888888889,0.666666666666667,1,1,"control","control","control",4,4,3
"37",1305884579,0.777777777777778,0.833333333333333,0.833333333333333,0.666666666666667,"left-wing","left/right wing","anti-democratic",NA,4,NA
"38",1305611593,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"left-wing","left/right wing","pro-democratic",NA,NA,3
"39",1305800213,1,1,1,1,"right-wing","left/right wing","anti-democratic",7,3,5
"40",1305884587,0.722222222222222,0.833333333333333,0.666666666666667,0.666666666666667,"left-wing","left/right wing","anti-democratic",5,3,3
"41",1304532345,1,1,1,1,"centre-left","moderate left/right","pro-democratic",6,3,2
"42",1305725173,1,1,1,1,"right-wing","left/right wing","pro-democratic",NA,NA,4
"43",1305799961,1,1,1,1,"centre","centre","pro-democratic",7,1,3
"44",1304690653,1,1,1,1,"right-wing","left/right wing","anti-democratic",4,3,NA
"45",1305640729,1,1,1,1,"left-wing","left/right wing","pro-democratic",7,2,2
"46",1305854431,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","anti-democratic",4,4,NA
"47",1303582421,1,1,1,1,"right-wing","left/right wing","pro-democratic",4,2,5
"48",1305854421,0.777777777777778,0.5,0.833333333333333,1,"centre-left","moderate left/right","pro-democratic",4,4,4
"49",1305640335,0.777777777777778,0.833333333333333,0.833333333333333,0.666666666666667,"control","control","control",4,4,5
"50",1305663649,1,1,1,1,"centre","centre","anti-democratic",NA,3,NA
"51",1305854523,0.944444444444444,1,1,0.833333333333333,"right-wing","left/right wing","pro-democratic",4,6,5
"52",1305884789,0.5,0.5,0.333333333333333,0.666666666666667,"centre-left","moderate left/right","anti-democratic",5,4,3
"53",1305884735,1,1,1,1,"left-wing","left/right wing","pro-democratic",NA,NA,5
"54",1305884901,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","pro-democratic",7,1,4
"55",1305884495,0.944444444444444,0.833333333333333,1,1,"centre-left","moderate left/right","anti-democratic",5,3,NA
"56",1305937557,0.777777777777778,0.666666666666667,0.833333333333333,0.833333333333333,"left-wing","left/right wing","anti-democratic",6,2,5
"57",1304673709,1,1,1,1,"centre","centre","pro-democratic",4,4,5
"58",1305938111,1,1,1,1,"centre-left","moderate left/right","pro-democratic",4,2,4
"59",1305564653,1,1,1,1,"control","control","control",4,4,5
"60",1305854439,1,1,1,1,"centre-right","moderate left/right","anti-democratic",4,4,4
"61",1305884713,1,1,1,1,"centre","centre","anti-democratic",7,1,5
"62",1305564717,1,1,1,1,"centre","centre","pro-democratic",NA,1,NA
"63",1306425337,0.5,0.333333333333333,0.5,0.666666666666667,"centre-left","moderate left/right","pro-democratic",NA,NA,5
"64",1306394969,1,1,1,1,"centre-right","moderate left/right","pro-democratic",4,5,5
"65",1306423355,1,1,1,1,"right-wing","left/right wing","pro-democratic",NA,NA,5
"66",1306423575,1,1,1,1,"centre","centre","pro-democratic",4,2,1
"67",1305800019,1,1,1,1,"centre-left","moderate left/right","anti-democratic",2,5,2
"68",1306427335,1,1,1,1,"left-wing","left/right wing","anti-democratic",4,4,1
"69",1306428739,1,1,1,1,"centre-right","moderate left/right","pro-democratic",4,NA,NA
